"Rank","College","Points","Wins","Losses","BestWin_1","BestWin_2","BestWin_3","WorstLoss_1","WorstLoss_2","WorstLoss_3"
1,"Harvard University",1297.08451241106,12,0,"(2) University of Pennsylvania","(3) Trinity College","(4) Princeton University",,,
2,"University of Pennsylvania",1266.30417735128,11,1,"(3) Trinity College","(4) Princeton University","(5) Yale University","(1) Harvard University",,
3,"Trinity College",1239.7808778496,14,2,"(4) Princeton University","(5) Yale University","(6) Stanford University","(1) Harvard University","(2) University of Pennsylvania",
4,"Princeton University",1215.58822996211,11,3,"(5) Yale University","(6) Stanford University","(7) Cornell University","(1) Harvard University","(2) University of Pennsylvania","(3) Trinity College"
5,"Yale University",1192.93256159668,11,4,"(6) Stanford University","(7) Cornell University","(8) Columbia University","(1) Harvard University","(2) University of Pennsylvania","(3) Trinity College"
6,"Stanford University",1171.37438074344,6,6,"(7) Cornell University","(8) Columbia University","(9) Dartmouth College","(1) Harvard University","(1) Harvard University","(2) University of Pennsylvania"
7,"Cornell University",1150.63210530643,8,6,"(8) Columbia University","(9) Dartmouth College","(10) Brown University","(1) Harvard University","(2) University of Pennsylvania","(3) Trinity College"
8,"Columbia University",1130.50472496593,6,7,"(9) Dartmouth College","(10) Brown University","(11) Williams College","(1) Harvard University","(2) University of Pennsylvania","(3) Trinity College"
9,"Dartmouth College",1110.84037772606,5,8,"(10) Brown University","(11) Williams College","(14) Drexel University","(1) Harvard University","(2) University of Pennsylvania","(3) Trinity College"
10,"Brown University",1091.51953179229,5,7,"(11) Williams College","(12) University of Virginia","(16) Middlebury College","(1) Harvard University","(2) University of Pennsylvania","(4) Princeton University"
11,"Williams College",1072.69774883282,17,7,"(12) University of Virginia","(13) George Washington University","(14) Drexel University","(3) Trinity College","(4) Princeton University","(6) Stanford University"
12,"University of Virginia",1047.05452845413,14,5,"(13) George Washington University","(16) Middlebury College","(17) Franklin and Marshall College","(2) University of Pennsylvania","(6) Stanford University","(10) Brown University"
13,"George Washington University",1044.03671941091,8,8,"(12) University of Virginia","(16) Middlebury College","(17) Franklin and Marshall College","(2) University of Pennsylvania","(4) Princeton University","(5) Yale University"
14,"Drexel University",1042.23900282487,6,10,"(13) George Washington University","(16) Middlebury College","(20) Bowdoin College","(1) Harvard University","(2) University of Pennsylvania","(3) Trinity College"
15,"Bates College",1039.16657451611,14,4,"(16) Middlebury College","(17) Franklin and Marshall College","(18) Amherst College","(3) Trinity College","(3) Trinity College","(11) Williams College"
16,"Middlebury College",1035.55745797512,9,9,"(15) Bates College","(17) Franklin and Marshall College","(18) Amherst College","(4) Princeton University","(9) Dartmouth College","(10) Brown University"
17,"Franklin and Marshall College",1031.89454327647,5,12,"(14) Drexel University","(18) Amherst College","(21) Dickinson College","(3) Trinity College","(4) Princeton University","(5) Yale University"
18,"Amherst College",1008.10263833453,10,7,"(20) Bowdoin College","(23) William Smith College","(24) St. Lawrence University","(5) Yale University","(10) Brown University","(11) Williams College"
